Book Name,exact_book_name,author,publish_date,ratings_count,goodreads_link
Declutter your mind,"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present (The Path to Calm Book 1)",Nick Trenton,2021,8067,https://www.goodreads.com/book/show/57280624-stop-overthinking?from_search=true&from_srp=true&qid=ZcGwE2vIqB&rank=1
Deep work,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,2016,183688,https://www.goodreads.com/book/show/25744928-deep-work?from_search=true&from_srp=true&qid=POfUFIDwVe&rank=1
Design for the real world,Design for the Real World: Human Ecology and Social Change,Victor Papanek,1972,1733,https://www.goodreads.com/book/show/190560.Design_for_the_Real_World?from_search=true&from_srp=true&qid=DZVUehAyO0&rank=1
Designing your work life,Designing Your Work Life: How to Thrive and Change and Find Happiness at Work,Bill Burnett,2020,2375,https://www.goodreads.com/book/show/48635878-designing-your-work-life?from_search=true&from_srp=true&qid=STrOKz7DXn&rank=1
Don't Overthink It: Make Easier Decisions,"Don't Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life",Anne Bogel,2020,16037,https://www.goodreads.com/book/show/46161166-don-t-overthink-it?from_search=true&from_srp=true&qid=mKjVRbeAqL&rank=1
Drive,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2009,124285,https://www.goodreads.com/book/show/6452796-drive?from_search=true&from_srp=true&qid=D0jKWieSpd&rank=1
Eat the yolks,"Eat the Yolks: Discover Paleo, Fight Food Lies, and Reclaim Your Health",Liz Wolfe,2014,1666,https://www.goodreads.com/book/show/18778878-eat-the-yolks?from_search=true&from_srp=true&qid=jTrr2G5c6h&rank=1
Educated a memoir,Educated: A Memoir,Tara Westover,2018,1800620,https://www.goodreads.com/book/show/42616411-educated?from_search=true&from_srp=true&qid=cMyx1HgW2G&rank=1
Effective decision-Making,"Elements of Critical Thinking: A Fundamental Guide to Effective Decision Making, Deep Analysis, Intelligent Reasoning, and Independent Thinking",Albert Rutherford,,104,https://www.goodreads.com/book/show/42383712-elements-of-critical-thinking?from_search=true&from_srp=true&qid=lxY4Ovbe8G&rank=1
Elon Musk,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,2015,438586,https://www.goodreads.com/book/show/25541028-elon-musk?from_search=true&from_srp=true&qid=wWZp277NmZ&rank=1
Emily Chang Brotopia,SUMMARY: Brotopia (UNOFFICIAL SUMMARY: Lesson from Emily Chang),Powerful Insights,,0,https://www.goodreads.com/book/show/97127986-summary?from_search=true&from_srp=true&qid=pJSyUpCS3C&rank=2
Emotional Intelligence,Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,1995,133022,https://www.goodreads.com/book/show/26329.Emotional_Intelligence?from_search=true&from_srp=true&qid=EK8BQRNEqF&rank=1
Extreme owneship,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,2015,97258,https://www.goodreads.com/book/show/23848190-extreme-ownership?from_search=true&from_srp=true&qid=nKm5NkGTff&rank=1
Factfulness,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,2018,198850,https://www.goodreads.com/book/show/34890015-factfulness?from_search=true&from_srp=true&qid=kWAfPWlIwO&rank=1
Feeling good,Feeling Good: The New Mood Therapy,David D. Burns,1980,33740,https://www.goodreads.com/book/show/46674.Feeling_Good?from_search=true&from_srp=true&qid=Ab5lC6BIAj&rank=1
First things first,First Things First,Stephen R. Covey,1996,43428,https://www.goodreads.com/book/show/36071.First_Things_First?from_search=true&from_srp=true&qid=inEzfItnok&rank=1
Five easy decades,Five Easy Decades: How Jack Nicholson Became the Biggest Movie Star in Modern Times,Dennis McDougal,2007,103,https://www.goodreads.com/book/show/1654698.Five_Easy_Decades?from_search=true&from_srp=true&qid=QkrjkdnJOf&rank=1
Flow,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,1990,87008,https://www.goodreads.com/book/show/66354.Flow?from_search=true&from_srp=true&qid=3j8sEZgvtu&rank=1
Getting things done,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,2001,166175,https://www.goodreads.com/book/show/1633.Getting_Things_Done?from_search=true&from_srp=true&qid=rW3HpMAe50&rank=1
Getting to yes,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,1981,85088,https://www.goodreads.com/book/show/313605.Getting_to_Yes?from_search=true&from_srp=true&qid=XMKQfVGFCl&rank=1
Girl stop apologizing,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,2019,90285,https://www.goodreads.com/book/show/40591267-girl-stop-apologizing?from_search=true&from_srp=true&qid=8aYRmhGCVS&rank=1
"Girl, wash your face",Girl Wash your Face,Rachel Hollis,2018,270920,https://www.goodreads.com/book/show/35542451-girl-wash-your-face?from_search=true&from_srp=true&qid=bCoAFZLFi3&rank=1
Good to great,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,,283378,https://www.goodreads.com/book/show/76865.Good_to_Great?from_search=true&from_srp=true&qid=cptZArXuz7&rank=1
Homo deus,Homo Deus: A History of Tomorrow,Yuval Noah Harari,2015,281947,https://www.goodreads.com/book/show/31138556-homo-deus?from_search=true&from_srp=true&qid=UbQIWU4RAv&rank=1
How not to die,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,2015,49212,https://www.goodreads.com/book/show/25663961-how-not-to-die?from_search=true&from_srp=true&qid=y56XM49zE2&rank=1
How not to hate your husband after kids,How Not to Hate Your Husband After Kids,Jancee Dunn,2017,13570,https://www.goodreads.com/book/show/40611244-how-not-to-hate-your-husband-after-kids?from_search=true&from_srp=true&qid=xwLgPRTjV7&rank=1
How to do nothing,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,2019,54750,https://www.goodreads.com/book/show/42771901-how-to-do-nothing?from_search=true&from_srp=true&qid=9bckHtIh1e&rank=1
how to stop procrastinating,How to Stop Procrastinating: A Simple Guide to Mastering Difficult Tasks and Breaking the Procrastination Habit,S.J. Scott,2017,854,https://www.goodreads.com/book/show/35708379-how-to-stop-procrastinating?from_search=true&from_srp=true&qid=tiBK6JddBS&rank=2
How to stop worrying and start living,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,1944,114518,https://www.goodreads.com/book/show/4866.How_to_Stop_Worrying_and_Start_Living?from_search=true&from_srp=true&qid=z7z65GW5Fl&rank=1
How to talk to anyone,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,1998,43727,https://www.goodreads.com/book/show/35210.How_to_Talk_to_Anyone?from_search=true&from_srp=true&qid=dkOjSWgaiY&rank=1
How to win friends & Influence People,How to Win Friends & Influence People,Dale Carnegie,1936,1123236,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_Influence_People?from_search=true&from_srp=true&qid=gu4AmOhkXp&rank=1
I am Ozzy,I Am Ozzy,Ozzy Osbourne,2009,33017,https://www.goodreads.com/book/show/6952423-i-am-ozzy?from_search=true&from_srp=true&qid=yAEIR3ODUd&rank=1
I can’t make this up,I Can't Make This Up: Life Lessons,Kevin  Hart,2017,36839,https://www.goodreads.com/book/show/33347428-i-can-t-make-this-up?from_search=true&from_srp=true&qid=J8E7IXZccR&rank=1
I will teach you ro be rich:No Guilt,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,2009,60995,https://www.goodreads.com/book/show/40591670-i-will-teach-you-to-be-rich?from_search=true&from_srp=true&qid=XUzkvwCJ3h&rank=1
Ikigai,Ikigai: The Japanese Secret to a Long and Happy Life / The Little Book of Hygge / Lagom: The Swedish Art of Balanced Living,Héctor  García,2018,53770,https://www.goodreads.com/book/show/40534545-ikigai?from_search=true&from_srp=true&qid=wrysd2lVM5&rank=1
Imagine It Forward:,"Imagine It Forward: Courage, Creativity, and the Power of Change",Beth Comstock,2018,823,https://www.goodreads.com/book/show/37811374-imagine-it-forward?from_search=true&from_srp=true&qid=RIOYQks4eW&rank=1
Influence: The Psychology of Persuasion,Influence: The Psychology of Persuasion,Robert B. Cialdini,1984,172847,https://www.goodreads.com/book/show/28815.Influence?from_search=true&from_srp=true&qid=u1YU6UOJgo&rank=1
Leaders eat last,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,2014,62134,https://www.goodreads.com/book/show/16144853-leaders-eat-last?from_search=true&from_srp=true&qid=9irNOfKjuR&rank=1
Lean in,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,2013,267844,https://www.goodreads.com/book/show/16071764-lean-in?from_search=true&from_srp=true&qid=4lbYltjChg&rank=1
Leap Howard yu,Leap: How to Thrive in a World Where Everything Can Be Copied,Howard Yu,,169,https://www.goodreads.com/book/show/36342258-leap?from_search=true&from_srp=true&qid=zmw6t0L1dh&rank=1
Life after google,Life After Google: The Fall of Big Data and the Rise of the Blockchain Economy,George Gilder,2018,2356,https://www.goodreads.com/book/show/32073021-life-after-google?from_search=true&from_srp=true&qid=iRm5gdxush&rank=1
