Book Name,exact_book_name,author,publish_date,ratings_count,goodreads_link
The dichotomy of leadership,The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,2018,14819,https://www.goodreads.com/book/show/38714388-the-dichotomy-of-leadership?from_search=true&from_srp=true&qid=rFqL6BEeOI&rank=1
The dumb things smart people do with their money,The Dumb Things Smart People Do with Their Money: Thirteen Ways to Right Your Financial Wrongs,Jill Schlesinger,2019,1657,https://www.goodreads.com/book/show/40265842-the-dumb-things-smart-people-do-with-their-money?from_search=true&from_srp=true&qid=DSwBsJH1Ok&rank=1
The education of millionaires,The Education of Millionaires: It's Not What You Think and It's Not Too Late,Michael Ellsberg,2011,3669,https://www.goodreads.com/book/show/11149378-the-education-of-millionaires?from_search=true&from_srp=true&qid=OS46uNhGgk&rank=1
The end of stress,The End of Stress: Four Steps to Rewire Your Brain,Don Joseph Goewey,2014,246,https://www.goodreads.com/book/show/18775151-the-end-of-stress?from_search=true&from_srp=true&qid=hLWmRJMREv&rank=1
The energy codes,"The Energy Codes: The 7-Step System to Awaken Your Spirit, Heal Your Body, and Live Your Best Life",Sue Morter,2019,1386,https://www.goodreads.com/book/show/40538601-the-energy-codes?from_search=true&from_srp=true&qid=gDtCU8a8Qh&rank=1
The everything store,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,2013,76738,https://www.goodreads.com/book/show/17660462-the-everything-store?from_search=true&from_srp=true&qid=9i81LsDKgy&rank=1
The financial diet,The Financial Diet,Chelsea Fagan,2018,5863,https://www.goodreads.com/book/show/32927009-the-financial-diet?from_search=true&from_srp=true&qid=sXLM4jwaVg&rank=1
The Four Agreements,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,1997,498823,https://www.goodreads.com/book/show/6596.The_Four_Agreements?from_search=true&from_srp=true&qid=TVS0WLQesD&rank=1
The Happiness project,The Happiness Project,Gretchen Rubin,2009,179960,https://www.goodreads.com/book/show/6398634-the-happiness-project?from_search=true&from_srp=true&qid=dZqiNtUviK&rank=1
The infinite game,The Infinite Game,Simon Sinek,2017,27905,https://www.goodreads.com/book/show/38390751-the-infinite-game?from_search=true&from_srp=true&qid=0dw4aS6szn&rank=1
The intelligent investor,The Intelligent Investor,Benjamin Graham,1949,147835,https://www.goodreads.com/book/show/106835.The_Intelligent_Investor?from_search=true&from_srp=true&qid=0dYO00HUyb&rank=1
The little book of common sense investing,The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,2007,25409,https://www.goodreads.com/book/show/171127.The_Little_Book_of_Common_Sense_Investing?from_search=true&from_srp=true&qid=ancR7p1afh&rank=1
The making of a manager,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,2019,20901,https://www.goodreads.com/book/show/38821039-the-making-of-a-manager?from_search=true&from_srp=true&qid=YvC81SRAdK&rank=1
The mamba mentality,The Mamba Mentality: How I Play,Kobe Bryant,,17564,https://www.goodreads.com/book/show/40230101-the-mamba-mentality?from_search=true&from_srp=true&qid=m5DOYzdATW&rank=1
The Millionaire Fastlane,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,2010,25943,https://www.goodreads.com/book/show/18872437-the-millionaire-fastlane?from_search=true&from_srp=true&qid=X6Alot9djz&rank=1
The millionaire next door,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,1995,131440,https://www.goodreads.com/book/show/998.The_Millionaire_Next_Door?from_search=true&from_srp=true&qid=BMo3QLNeq0&rank=1
The miracle Morning,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM,Hal Elrod,2012,84510,https://www.goodreads.com/book/show/17166225-the-miracle-morning?from_search=true&from_srp=true&qid=PFd77X5Mgk&rank=1
The moment of lift,The Moment of Lift: How Empowering Women Changes the World,Melinda French Gates,2019,63936,https://www.goodreads.com/book/show/40776644-the-moment-of-lift?from_search=true&from_srp=true&qid=rnmaiz6MlV&rank=1
The next millionaire next door,The Next Millionaire Next Door: Enduring Strategies for Building Wealth,Thomas J. Stanley,2018,2783,https://www.goodreads.com/book/show/40831515-the-next-millionaire-next-door?from_search=true&from_srp=true&qid=7yMD6hNXM6&rank=1
The no-spend challenge guide,"The No-Spend Challenge Guide: How to Stop Spending Money Impulsively, Pay off Debt Fast, & Make Your Finances Fit Your Dreams",Jen      Smith,,2603,https://www.goodreads.com/book/show/36574256-the-no-spend-challenge-guide?from_search=true&from_srp=true&qid=TGSIaMYkYM&rank=1
The one minute manager,The One Minute Manager,Kenneth H. Blanchard,1981,142257,https://www.goodreads.com/book/show/763362.The_One_Minute_Manager?from_search=true&from_srp=true&qid=ZyUHOQCNU0&rank=1
The one thing,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,2012,72343,https://www.goodreads.com/book/show/16256798-the-one-thing?from_search=true&from_srp=true&qid=GQ0WpCM5XJ&rank=1
The power of habit,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2012,553391,https://www.goodreads.com/book/show/12609433-the-power-of-habit?from_search=true&from_srp=true&qid=bPEgTrKPtL&rank=1
The power of now,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,1997,436282,https://www.goodreads.com/book/show/6708.The_Power_of_Now?from_search=true&from_srp=true&qid=77N2q9AkOQ&rank=1
The richest man in babylon,The Richest Man in Babylon,George S. Clason,1926,236765,https://www.goodreads.com/book/show/43097201-the-richest-man-in-babylon?from_search=true&from_srp=true&qid=KmtzL9cMqZ&rank=1
The science of getting rich,The Science of Getting Rich,Wallace D. Wattles,1910,43988,https://www.goodreads.com/book/show/342504.The_Science_of_Getting_Rich?from_search=true&from_srp=true&qid=mABWeAWoRx&rank=1
The simple path to wealth,"The Simple Path to Wealth: Your Road Map to Financial Independence and a Rich, Free Life",J.L.   Collins,2016,30392,https://www.goodreads.com/book/show/30646587-the-simple-path-to-wealth?from_search=true&from_srp=true&qid=JIILhK7c7h&rank=1
The sleep solution: why your sleep is broken and how to fix it,The Sleep Solution: Why Your Sleep is Broken and How to Fix It,W. Chris Winter,2017,3709,https://www.goodreads.com/book/show/31579915-the-sleep-solution?from_search=true&from_srp=true&qid=9LKA0ppJ5V&rank=1
The snowball,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,2008,53586,https://www.goodreads.com/book/show/2054761.The_Snowball?from_search=true&from_srp=true&qid=nMaU5BFX8Q&rank=1
The subtle Art of not caring,THE SUBTLE ART OF NOT CARING: An Illogical Approach to a Happy and Fulfilling Life,Rachel Gibson,,10,https://www.goodreads.com/book/show/120494561-the-subtle-art-of-not-caring?from_search=true&from_srp=true&qid=sjmaWikdcp&rank=1
The total money makeover,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,1994,96112,https://www.goodreads.com/book/show/78427.The_Total_Money_Makeover?from_search=true&from_srp=true&qid=Ny16JvnlD7&rank=1
The untethered soul,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,2007,137783,https://www.goodreads.com/book/show/1963638.The_Untethered_Soul?from_search=true&from_srp=true&qid=MiKa1hqetw&rank=1
The wealth and poverty of nations,The Wealth and Poverty of Nations: Why Some Are So Rich and Some So Poor,David S. Landes,1998,3868,https://www.goodreads.com/book/show/209176.The_Wealth_and_Poverty_of_Nations?from_search=true&from_srp=true&qid=iFD7IkQO6E&rank=1
Think and grow rich,Think and Grow Rich,Napoleon Hill,,373645,https://www.goodreads.com/book/show/30186948-think-and-grow-rich?from_search=true&from_srp=true&qid=ZiQBrYU5Px&rank=1
Think like an entrepreneur act like a CEO,"Think Like an Entrepreneur, Act Like a CEO: 50 Indispensable Tips to Help You Stay Afloat, Bounce Back, and Get Ahead at Work",Beverly E. Jones,2016,295,https://www.goodreads.com/book/show/27852345-think-like-an-entrepreneur-act-like-a-ceo?from_search=true&from_srp=true&qid=To3ewLGHEp&rank=1
Think Straight,"Think Straight: Change Your Thoughts, Change Your Life",Darius Foroux,2017,16211,https://www.goodreads.com/book/show/36640169-think-straight?from_search=true&from_srp=true&qid=Ssa8oDVlMu&rank=1
"Think, Fast and slow",Think Fast and Slow: Understanding the Mind's Dual Processes and the Art of Thoughtful Decision Making,Maxwell Smith,,0,https://www.goodreads.com/book/show/175970729-think-fast-and-slow?from_search=true&from_srp=true&qid=kk6lRuNcJ2&rank=2
Thinking in systems,Thinking In Systems: A Primer,Donella H. Meadows,2008,21232,https://www.goodreads.com/book/show/3828902-thinking-in-systems?from_search=true&from_srp=true&qid=XtkDZiV3gS&rank=1
To-do list formula,To-Do List Formula: A Stress-Free Guide To Creating To-Do Lists That Work!,Damon Zahariades,2016,4366,https://www.goodreads.com/book/show/31329812-to-do-list-formula?from_search=true&from_srp=true&qid=SVPuizAofz&rank=1
Tools of Titans,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,2016,44332,https://www.goodreads.com/book/show/31823677-tools-of-titans?from_search=true&from_srp=true&qid=ebgZ5RWdIp&rank=1
Train your brain for success,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,2014,28647,https://www.goodreads.com/book/show/23215490-13-things-mentally-strong-people-don-t-do?from_search=true&from_srp=true&qid=QYhIwfm4ho&rank=1
Ultralearning: Master Hard Skills,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,2019,15237,https://www.goodreads.com/book/show/44770129-ultralearning?from_search=true&from_srp=true&qid=piiru8GoX0&rank=1
Unlimited Memory,"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive (Mental Mastery, #1)",Kevin Horsley,2014,22633,https://www.goodreads.com/book/show/20958539-unlimited-memory?from_search=true&from_srp=true&qid=2cjk91gTOg&rank=1
When I stop talking you’ll know I’m dead,"When I Stop Talking, You`ll Know I`m Dead Useful Stories from a Persuasive Man [HC,2010]",Jerry Weintraub,2010,4316,https://www.goodreads.com/book/show/136486128-when-i-stop-talking-you-ll-know-i-m-dead-useful-stories-from-a-persuasi?from_search=true&from_srp=true&qid=400qooR5g7&rank=1
Why we sleep,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,2017,219209,https://www.goodreads.com/book/show/34466963-why-we-sleep?from_search=true&from_srp=true&qid=omhA0H6PS1&rank=1
Work Rules!: Insights from Inside Google,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,2015,16219,https://www.goodreads.com/book/show/22875447-work-rules?from_search=true&from_srp=true&qid=nhGZe9TgwY&rank=1
Your best year ever,Your Best Year Ever: A 5-Step Plan for Achieving Your Most Important Goals,Michael Hyatt,2018,8386,https://www.goodreads.com/book/show/35138433-your-best-year-ever?from_search=true&from_srp=true&qid=AQ14j7QAcw&rank=1
This is me letting you go,This Is Me Letting You Go,Heidi Priebe,2016,11941,https://www.goodreads.com/book/show/29924756-this-is-me-letting-you-go?from_search=true&from_srp=true&qid=1mxd0nScZ4&rank=1
The soulmate experience,The Soulmate Experience: A Practical Guide to Creating Extraordinary Relationships,Mali Apple,2011,649,https://www.goodreads.com/book/show/12981000-the-soulmate-experience?from_search=true&from_srp=true&qid=bs669wAK3C&rank=1
The dance of anger,The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,1985,28758,https://www.goodreads.com/book/show/31312.The_Dance_of_Anger?from_search=true&from_srp=true&qid=3NeJCnmJXg&rank=1
The breakup bible,The Breakup Bible,Melissa Kantor,2007,3058,https://www.goodreads.com/book/show/313139.The_Breakup_Bible?from_search=true&from_srp=true&qid=1oAeuWFJS9&rank=1
